Arizona,Apache,11,0,71887
Florida,Flagler,11,0,115081
Georgia,Early,10,1,10190
Georgia,Richmond,11,0,202518
Georgia,Spalding,11,0,66703
Georgia,Tift,11,0,40644
Illinois,McLean,10,1,171517
Indiana,Floyd,11,0,78522
Iowa,Washington,11,0,21965
Kentucky,Harrison,11,0,18886
Louisiana,Livingston,11,0,140789
Michigan,Kalamazoo,11,0,265066
Mississippi,Holmes,10,1,17010
Mississippi,Lafayette,11,0,54019
Mississippi,Washington,11,0,43909
New York,Chemung,11,0,83456
New York,Clinton,11,0,80485
New York,Wayne,11,0,89918
North Carolina,Brunswick,11,0,142820
North Carolina,Chatham,11,0,74470
North Dakota,Morton,11,0,31364
Ohio,Warren,11,0,234602
Oklahoma,Canadian,11,0,148306
Oregon,Yamhill,11,0,107100
Pennsylvania,Centre,11,0,162385
Virginia,Charlottesville city,11,0,47266
Virginia,Stafford,11,0,152882
Washington,Jefferson,11,0,32221
Alabama,Lauderdale,9,1,92729
California,San Benito,9,1,62808
Colorado,Summit,10,0,31011
Florida,Hernando,10,0,193920
Georgia,Bibb,10,0,153159
Georgia,Chatham,10,0,289430
Georgia,Columbia,10,0,156714
Georgia,Houston,9,1,157863
Georgia,Oconee,10,0,40280
Georgia,Polk,10,0,42613
Georgia,Sumter,10,0,29524
Idaho,Kootenai,10,0,165697
Illinois,Champaign,10,0,209689
Indiana,Morgan,10,0,70489
Kentucky,Jessamine,10,0,54115
Louisiana,Avoyelles,10,0,40144
Louisiana,St. Landry,10,0,82124
Louisiana,Webster,9,1,38340
Minnesota,Anoka,10,0,356921
Minnesota,Le Sueur,10,0,28887
Minnesota,Mower,10,0,40062
Mississippi,Hancock,9,1,47632
Mississippi,Lauderdale,10,0,74125
Mississippi,Wilkinson,9,1,8630
Missouri,Cole,10,0,76745
New Jersey,Cumberland,9,1,149527
North Carolina,Johnston,9,1,209339
North Carolina,Pitt,10,0,180742
North Carolina,Rowan,10,0,142088
Ohio,Geauga,10,0,93649
Ohio,Licking,10,0,176862
Oregon,Lane,9,1,382067
Oregon,Polk,10,0,86085
South Carolina,Berkeley,10,0,227907
Tennessee,Tipton,10,0,61599
Tennessee,Washington,10,0,129375
Texas,Matagorda,9,1,36643
Texas,Webb,10,0,276652
Wyoming,Teton,10,0,23464
Alabama,Morgan,9,0,119679
Alabama,St. Clair,9,0,89512
Arizona,Yavapai,9,0,235099
Arkansas,Crittenden,9,0,47955
California,El Dorado,9,0,192843
Indiana,Delaware,8,1,114135
Indiana,Elkhart,9,0,206341
Indiana,Monroe,9,0,148431
Indiana,Tippecanoe,8,1,195732
Iowa,Dallas,9,0,93453
Iowa,Dubuque,8,1,97311
Louisiana,Acadia,8,1,62045
Louisiana,Washington,8,1,46194
Maryland,Calvert,9,0,92525
Maryland,Carroll,9,0,168447
Maryland,Cecil,9,0,102855
Michigan,Calhoun,9,0,134159
Mississippi,Bolivar,9,0,30628
Mississippi,Chickasaw,9,0,17103
Mississippi,Lowndes,9,0,58595
Mississippi,Marshall,9,0,35294
Missouri,Clay,9,0,249948
New York,Herkimer,9,0,61319
North Carolina,Gaston,9,0,224529
Oklahoma,Washington,9,0,51527
Pennsylvania,Fayette,9,0,129274
Rhode Island,Washington,9,0,125577
South Carolina,Dorchester,9,0,162809
Tennessee,Dickson,9,0,53948
Tennessee,Montgomery,9,0,208993
Texas,Comal,8,1,156209
Texas,Hays,9,0,230191
Vermont,Washington,9,0,58409
Vermont,Windham,9,0,42222
Virginia,York,9,0,68280
Wisconsin,Racine,9,0,196311
Wisconsin,Sauk,8,1,64442
California,Nevada,8,0,99755
Colorado,Pueblo,7,1,168424
Colorado,Teller,7,1,25388
Florida,Marion,8,0,365579
Georgia,Muscogee,8,0,195769
Georgia,Terrell,6,2,8531
Georgia,Worth,7,1,20247
Illinois,Kendall,8,0,128990
Illinois,Madison,8,0,262966
Illinois,Sangamon,7,1,194672
Illinois,Winnebago,8,0,282572
Indiana,Madison,7,1,129569
Iowa,Allamakee,7,1,13687
Iowa,Muscatine,8,0,42664
Kentucky,Warren,8,0,132896
Louisiana,Assumption,8,0,21891
Maine,Oxford,8,0,57975
Michigan,Clinton,8,0,79595
Michigan,Eaton,8,0,110268
Michigan,Lenawee,8,0,98451
Michigan,Midland,8,0,83156
Michigan,Muskegon,6,2,173566
Minnesota,Carver,8,0,105089
Mississippi,Attala,8,0,18174
Mississippi,Copiah,8,0,28065
Mississippi,Tate,8,0,28321
Missouri,Cass,8,0,105780
Missouri,Johnson,8,0,54062
Montana,Lewis and Clark,8,0,69432
Montana,Missoula,8,0,119600
Montana,Silver Bow,8,0,34915
New Hampshire,Belknap,8,0,61303
